Step	t	Current temperature	KineticEnergy	Potential Energy	Internal Energy	Pressure	Density	RgH	RgP	RgAll	Bond length Average
0	0.000000	0.068659	5.664385	0.310610	5.974995	0.000003	0.000040	4.559433	4.652374	4.627785	1.000000
35000	3.500000	0.101196	8.348659	-85.508988	-77.160329	0.000004	0.000040	3.837880	3.863094	3.861133	1.000000
38000	3.800000	0.099398	8.200374	-87.149936	-78.949562	0.000004	0.000040	3.765024	3.766236	3.773687	1.000000
39000	3.900000	0.102063	8.420233	-87.449961	-79.029728	0.000004	0.000040	3.735977	3.737790	3.744810	1.000000
42000	4.200000	0.100925	8.326352	-89.894467	-81.568115	0.000004	0.000040	3.677317	3.660505	3.674067	1.000000
44000	4.400000	0.102316	8.441042	-91.523820	-83.082778	0.000004	0.000040	3.656873	3.619544	3.640731	1.000000
47000	4.700000	0.100883	8.322840	-90.273717	-81.950877	0.000004	0.000040	3.604634	3.575184	3.593315	1.000000
52000	5.200000	0.100391	8.282290	-92.055610	-83.773321	0.000004	0.000040	3.529544	3.488156	3.511029	1.000000
54000	5.400000	0.098892	8.158558	-91.768071	-83.609513	0.000004	0.000040	3.491143	3.451878	3.474391	1.000000
56000	5.600000	0.099781	8.231964	-92.376879	-84.144916	0.000004	0.000040	3.464085	3.415660	3.442129	1.000000
61000	6.100000	0.100738	8.310915	-95.063280	-86.752366	0.000004	0.000040	3.391353	3.312821	3.350506	1.000000
62000	6.200000	0.101170	8.346525	-96.051655	-87.705130	0.000004	0.000040	3.379392	3.287220	3.330181	1.000000
67000	6.700000	0.100199	8.266454	-97.248171	-88.981717	0.000004	0.000040	3.266780	3.180720	3.220459	1.000000
70000	7.000000	0.100193	8.265891	-99.158216	-90.892325	0.000004	0.000040	3.194036	3.127898	3.160250	1.000000
74000	7.400000	0.100246	8.270277	-100.568342	-92.298064	0.000004	0.000040	3.082346	3.063114	3.077362	1.000000
75000	7.500000	0.101128	8.343083	-101.757938	-93.414855	0.000004	0.000040	3.047376	3.047316	3.054014	1.000000
76000	7.600000	0.099537	8.211796	-101.301911	-93.090116	0.000004	0.000040	3.020793	3.026339	3.031020	1.000000
77000	7.700000	0.101988	8.413985	-102.155768	-93.741783	0.000004	0.000040	2.997721	3.004936	3.009183	1.000000
78000	7.800000	0.101103	8.340983	-103.150415	-94.809432	0.000004	0.000040	2.974415	2.989041	2.990448	1.000000
86000	8.600000	0.099701	8.225332	-108.244059	-100.018727	0.000004	0.000040	2.812169	2.907940	2.879075	1.000000
87000	8.700000	0.100501	8.291345	-109.183099	-100.891753	0.000004	0.000040	2.793363	2.894060	2.863402	1.000000
90000	9.000000	0.101774	8.396350	-108.928368	-100.532018	0.000004	0.000040	2.731144	2.845945	2.810756	1.000000
96000	9.600000	0.100528	8.293601	-108.465225	-100.171624	0.000004	0.000040	2.666875	2.775920	2.744724	1.000000
98000	9.800000	0.100842	8.319480	-109.968348	-101.648868	0.000004	0.000040	2.633749	2.745107	2.713605	1.000000
110000	11.000000	0.099080	8.174121	-121.371200	-113.197079	0.000004	0.000040	2.354732	2.518567	2.468154	1.000000
113000	11.300000	0.099060	8.172463	-120.831005	-112.658542	0.000004	0.000040	2.320197	2.481270	2.431987	1.000000
114000	11.400000	0.097904	8.077065	-119.686300	-111.609235	0.000004	0.000040	2.304639	2.475373	2.422246	1.000000
117000	11.700000	0.101882	8.405265	-122.221513	-113.816247	0.000004	0.000040	2.280413	2.456631	2.402263	1.000000
124000	12.400000	0.101240	8.352259	-124.610173	-116.257913	0.000004	0.000040	2.220293	2.410060	2.352734	1.000000
125000	12.500000	0.101988	8.414029	-125.452237	-117.038208	0.000004	0.000040	2.201916	2.388883	2.332645	1.000000
136000	13.600000	0.098978	8.165652	-127.852511	-119.686859	0.000004	0.000040	2.117186	2.257786	2.223598	1.000000
139000	13.900000	0.101469	8.371186	-128.187192	-119.816007	0.000004	0.000040	2.086980	2.236787	2.199171	1.000000
140000	14.000000	0.102499	8.456139	-130.925182	-122.469043	0.000004	0.000040	2.087831	2.229790	2.194925	1.000000
141000	14.100000	0.100567	8.296817	-131.825721	-123.528904	0.000004	0.000040	2.092537	2.222131	2.192131	1.000000
152000	15.200000	0.102549	8.460327	-130.957099	-122.496772	0.000004	0.000040	2.002475	2.122848	2.101125	1.000000
154000	15.400000	0.098607	8.135052	-130.960552	-122.825500	0.000004	0.000040	2.038368	2.144202	2.126663	1.000000
161000	16.100000	0.096537	7.964269	-130.242995	-122.278725	0.000004	0.000040	2.004490	2.136313	2.104227	1.000000
162000	16.200000	0.101129	8.343143	-129.116608	-120.773465	0.000004	0.000040	1.994414	2.136716	2.100665	1.000000
166000	16.600000	0.101742	8.393714	-132.685973	-124.292259	0.000004	0.000040	1.976290	2.122688	2.085857	1.000000
167000	16.700000	0.099503	8.209001	-132.550368	-124.341367	0.000004	0.000040	1.971503	2.116766	2.081051	1.000000
168000	16.800000	0.102257	8.436167	-133.720456	-125.284289	0.000004	0.000040	1.963464	2.110265	2.073775	1.000000
169000	16.900000	0.100933	8.327007	-135.083335	-126.756328	0.000004	0.000040	1.951730	2.102333	2.063908	1.000000
178000	17.800000	0.099438	8.203622	-134.729728	-126.526106	0.000004	0.000040	1.928572	2.092211	2.048286	1.000000
179000	17.900000	0.095271	7.859893	-132.913788	-125.053895	0.000004	0.000040	1.924213	2.097805	2.050373	1.000000
186000	18.600000	0.102214	8.432629	-134.162161	-125.729532	0.000004	0.000040	1.926090	2.085436	2.048763	1.000000
190000	19.000000	0.102380	8.446325	-136.857152	-128.410827	0.000004	0.000040	1.873551	2.056261	2.010566	1.000000
192000	19.200000	0.098625	8.136539	-138.883100	-130.746561	0.000004	0.000040	1.853520	2.029856	1.987257	1.000000
193000	19.300000	0.100258	8.271245	-139.338851	-131.067606	0.000004	0.000040	1.850544	2.019964	1.980527	1.000000
197000	19.700000	0.100604	8.299805	-140.234022	-131.934217	0.000004	0.000040	1.814420	2.026291	1.972634	1.000000
198000	19.800000	0.099025	8.169564	-139.531849	-131.362286	0.000004	0.000040	1.802386	2.022812	1.966615	1.000000
200000	20.000000	0.098690	8.141890	-139.712715	-131.570825	0.000004	0.000040	1.802468	2.006330	1.956555	1.000000
202000	20.200000	0.100245	8.270196	-138.461785	-130.191589	0.000004	0.000040	1.814313	2.008883	1.962723	1.000000
203000	20.300000	0.098541	8.129653	-138.119424	-129.989771	0.000004	0.000040	1.813728	2.016627	1.967874	1.000000
205000	20.500000	0.101854	8.402917	-137.801911	-129.398994	0.000004	0.000040	1.794698	2.023689	1.965593	1.000000
